customer_id,customer_name,industry,avg_days_late,risk_score,concentration_weight
1,Technology Co. 1,Technology,13.490142459033699,0.7757960621774133,10.0
2,Technology Co. 2,Technology,11.585207096486446,0.6891280147280737,5.743491774985175
3,Technology Co. 3,Technology,11.297539875829992,0.3377543479093296,4.152436465385057
4,Technology Co. 4,Technology,11.297589129152458,0.8630144947537077,3.2987697769322355
5,Technology Co. 5,Technology,16.737638446522176,0.3133799212922716,2.75945932292243
6,Technology Co. 6,Technology,14.302304187458727,0.9304414039052962,2.384948468508759
7,Technology Co. 7,Technology,10.591576842195144,0.41818622868461536,2.108247373706503
8,Technology Co. 8,Technology,13.627680130757895,0.4192129314047319,1.8946457081379975
9,Technology Co. 9,Technology,12.725886814698102,0.5807642621173752,1.7242728599059551
10,Technology Co. 10,Technology,6.260159266026607,0.4892989411287272,1.5848931924611132
11,Technology Co. 11,Technology,8.961506638996728,0.48989402154789174,1.4685402420019797
12,Technology Co. 12,Technology,12.942741997785822,0.5381351981408995,1.3697931912643546
13,Technology Co. 13,Technology,16.39694630676466,0.4297879584029338,1.2848289633344696
14,Technology Co. 14,Technology,11.322671098540393,0.6342523849688475,1.2108701450517394
15,Technology Co. 15,Technology,10.366851826424451,0.6949041537359348,1.1458479517249858
16,Technology Co. 16,Technology,12.332767769129598,0.4108406803967395,1.0881882041201552
17,Technology Co. 17,Technology,10.198083930243586,0.7447514672329019,1.0366707928425392
18,Technology Co. 18,Technology,11.12491875062017,0.5860991209307408,0.9903346988700017
19,Technology Co. 19,Technology,11.959508325786198,0.32235253872489195,0.94841217227218
20,Technology Co. 20,Technology,8.8268672131323,0.8910582613512084,0.91028210151304
21,Technology Co. 21,Technology,14.467634736309567,0.5026121994581171,0.8754363272631162
22,Technology Co. 22,Technology,8.337469050086934,0.638044213765577,0.843454880117311
23,Technology Co. 23,Technology,8.015441853304708,0.930230008046963,0.8139874915455901
24,Technology Co. 24,Technology,12.59058370760737,0.8038363351847244,0.7867395927457514
25,Technology Co. 25,Technology,14.215399739986232,0.35752012633374763,0.7614615754863513
26,Technology Co. 26,Technology,12.514104843569912,0.42738886057244435,0.7379404583174254
27,Technology Co. 27,Technology,11.653055152835279,0.5526402382981632,0.7159933499747269
28,Technology Co. 28,Technology,11.096688913232134,0.4763768706530323,0.6954622718679772
29,Technology Co. 29,Technology,10.618083687120638,0.48260743129679745,0.676210019811913
30,Technology Co. 30,Technology,15.171366678656748,0.6527524540528614,0.6581168286116066
31,Technology Co. 31,Technology,12.972251908184385,0.34845791839185103,0.6410776627949863
32,Technology Co. 32,Technology,10.84475315875105,0.9414765087903361,0.6249999999999999
33,Technology Co. 33,Technology,9.969233999082125,0.30358937613034154,0.6098020051774419
34,Technology Co. 34,Technology,13.835028866522604,0.8300499284956422,0.5954110172058484
35,Technology Co. 35,Technology,15.092998567487854,0.8013257253458645,0.5817622870401136
36,Technology Co. 36,Technology,14.793840357348596,0.3481290236271587,0.5687979197442274
